period,ratio
2025-12-27,41.88117
2025-12-28,46.18809
2025-12-29,49.23747
2025-12-30,46.69288
2025-12-31,41.2166
2026-01-01,43.99243
2026-01-02,47.58172
2026-01-03,45.34297
2026-01-04,49.0843
2026-01-05,51.70354
2026-01-06,51.33045
2026-01-07,51.97358
2026-01-08,52.30994
2026-01-09,48.19345
2026-01-10,45.52827
2026-01-11,49.94817
2026-01-12,53.86239
2026-01-13,52.78736
2026-01-14,52.37694
2026-01-15,50.87811
2026-01-16,47.59813
2026-01-17,44.46093
2026-01-18,47.95438
2026-01-19,51.46774
2026-01-20,51.12567
2026-01-21,50.2157
2026-01-22,49.10508
2026-01-23,45.22476
2026-01-24,43.16767
2026-01-25,46.61686
2026-01-26,50.74332
2026-01-27,50.3845
2026-01-28,51.64679
2026-01-29,50.85865
2026-01-30,47.80611
2026-01-31,46.15948
2026-02-01,49.12232
2026-02-02,51.75905
2026-02-03,51.34829
2026-02-04,50.75764
2026-02-05,49.60635
2026-02-06,47.10145
2026-02-07,45.41328
2026-02-08,49.35922
2026-02-09,52.24536
2026-02-10,50.39019
2026-02-11,48.694
2026-02-12,45.49817
